"Id_Rssd","Activity"
3606542,"OFFICES OF BANK HOLDING COMPANIES"
1249196,"OFFICES OF BANK HOLDING COMPANIES"
497404,"COMMERCIAL BANKING"
2121196,"COMMERCIAL BANKING"
3840207,"DIRECT PROPERTY AND CASUALTY INSURANCE CARRIERS"
2590037,"SAVINGS INSTITUTIONS"
3981856,"OFFICES OF BANK HOLDING COMPANIES"
634638,"INTERNATIONAL TRADE FINANCING"
722777,"COMMERCIAL BANKING"
4388788,"INTERNATIONAL TRADE FINANCING"
4388797,"INTERNATIONAL TRADE FINANCING"
2847115,"OFFICES OF BANK HOLDING COMPANIES"
816210,"COMMERCIAL BANKING"
4846998,"OFFICES OF OTHER HOLDING COMPANIES"
3212149,"OTHER DEPOSITORY CREDIT INTERMEDIATION"
1942723,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
5006575,"OFFICES OF BANK HOLDING COMPANIES"
2914521,"OFFICES OF BANK HOLDING COMPANIES"
2980209,"COMMERCIAL BANKING"
